gene_id	gene_name	ERR10802863	ERR10802864	ERR10802865	ERR10802866	ERR10802867	ERR10802868	ERR10802869	ERR10802870	ERR10802871	ERR10802874	ERR10802875	ERR10802876	ERR10802877	ERR10802878	ERR10802879	ERR10802880	ERR10802881	ERR10802882	ERR10802883	ERR10802884	ERR10802885	ERR10802886
ATP6	ATP6	10275.4149575178	8254.52260684371	4102.50352150144	18615.4063412444	11624.9799049556	7966.61111877658	12787.6055059161	4408.27904092846	13647.9049711394	13834.0593587567	1346.36775108886	10032.209291075	986.784108811147	1833.71117789709	3337.40377055622	5035.79455600198	1982.53112127733	11586.1630510276	18821.3789139808	2791.54752146504	11749.0390830474	6682.08085521465
ATP8	ATP8	3.85338329693687	2.91748487769605	2.32925099621543	7.76171567618742	7.01286547969017	2.28277726745311	2.06968048524814	0	2.10599097298571	1.2043219480633	3.08271871521548	1.96202309173222	0	0	0	2.72887770808398	0	26.6209577546562	39.9458087355655	0	8.11563105973233	1.02998505159481
COX1	COX1	88041.0221582751	83393.863270964	36975.047317033	136054.014586265	130862.833927503	62279.2130934887	109595.779495329	106402.324274964	104394.280525568	77681.519871072	38275.9432463151	78290.2904856747	17784.5053686017	32098.7590472494	64490.0377284104	63959.9659036491	50964.9440591459	76112.7748716199	108342.950159836	65828.6883457655	107741.195828617	94682.2791039272
COX2	COX2	8749.04346812492	7924.78546077309	2901.36842441796	16801.8948202565	10025.6640683445	6701.08410312618	11493.9715315034	6603.25251119423	11150.5765025187	9893.1949726361	1473.34161063395	13145.7659582661	1141.4691340382	1907.09440258958	3439.25641971248	8334.40870842779	2062.95368164459	12751.5567710861	19147.6588197264	2712.89088042069	17946.6442627351	10655.6566854609
COX3	COX3	55772.4485409362	50312.1222985698	35073.7402352986	80510.3137691593	69849.6825367401	42478.2148332126	68228.1693581025	71945.2845545868	66900.3444562119	52368.264275351	14665.0082032961	37275.2986378478	8797.15994153076	15948.3221647859	26278.2914060541	29997.4015928161	17801.5149951029	35418.7151877349	51440.9515712165	24915.3096433341	50029.1187331649	47749.8770857249
CYTB	CYTB	38543.3244583553	36352.0671097581	22185.3717447865	62147.411323874	57460.709474729	28159.3255786956	46219.3391345299	52035.4769053649	46089.6237382166	35247.278025316	17448.5054436434	38762.1681792204	11176.809258801	22261.9967940236	34368.3065398162	33401.0374535998	25854.1015941507	43911.6517479649	57843.5724143119	34616.488530391	50587.2925603039	51198.4707811631
LOC120412322	LOC120412322	24.5125168566354	3.91898170562728	27.4438756689566	23.7902761887006	18.7996947332558	60.2761747232934	4.94863941433419	13.7153657337468	99.0012488129737	55.9166080157151	13.4447115289837	21.9617056101555	11.2431670047708	27.7361208808941	17.4767601008848	14.8866091041989	27.9283021797283	16.5544855044983	35.4544380691453	36.5348527622841	27.7157343784902	29.8936556830186
LOC120412324	LOC120412324	2172.42276650588	1350.52813928044	2161.83718855374	2281.02628388071	1427.65884238907	1541.30356242669	2172.20446553518	1805.61879194878	2617.28440463145	2072.00693872496	2660.76439201652	3795.6210110936	1375.87438014613	2059.89716211328	3120.64651857655	3163.12617561183	2364.7964003626	2772.52450933861	2750.28634573854	2493.61109857009	3017.03580382441	3360.9102164039
LOC120412325	LOC120412325	162.624883160225	84.3895363349671	229.037514436699	129.506729769418	105.356456939206	129.940398816682	100.857267188117	161.151306053839	192.187130335518	157.93670063497	117.709705283336	319.570702802365	86.4519231069729	104.3535961901	148.204202724267	230.219783046145	103.322756329967	246.77793815266	226.895674850682	124.878009681956	231.523779957709	203.742483489445
LOC120412326	LOC120412326	12.0080772953515	3.96755688645052	4.10035763929023	0	1.94835079378038	1.03195604342589	3.98199857241263	1.97726751234413	0	1.05986542037782	4.02916052093985	0.980978361200215	1.98234863798758	0.992455569585588	2.97784558144721	11.7101963191605	1.00971948923337	2.94308468435746	2.92444080898822	2.93669929200175	7.86390559425834	2.90686603578941
LOC120412327	LOC120412327	2206.04490298675	1662.99669088844	2078.10044750487	2409.24063613561	1694.21833436911	1669.39672774372	2214.09480752291	2216.87837199392	2709.98207820922	1771.18749885469	1548.14682214743	3293.41619116299	902.861089334454	1515.15228496399	2118.84658063998	2437.95576747286	1745.3214170746	2182.68329316807	2283.72965350695	1816.0267093433	2422.96886806297	2492.21715418343
LOC120412328	LOC120412328	1858.39555095296	1165.17825882849	1305.1243328459	1465.640356682	911.657515004977	957.031005349048	1474.40011439942	1310.30349015007	2500.42961523324	1738.86703436299	1779.26184651254	2132.31989720303	1076.89510378004	1232.48099466514	1810.8268002248	1819.36646299941	1380.59145562921	1585.30558695157	1556.89476921373	1398.32636425606	1737.65582650093	1840.02012989936
LOC120412329	LOC120412329	7444.19659476902	4953.34062467205	8136.87945927035	8141.71833447082	4933.36316345533	5755.75948638537	7608.99513500005	6368.21355667395	8965.22946352519	7944.22835971391	3318.5909127649	4450.47091834226	1778.72216913468	2429.98192023256	3221.05085863671	3286.51365707751	2703.09984026727	3490.8219363958	6057.14619665029	2844.89647159571	6248.66093431216	3604.52473106716
LOC120412330	LOC120412330	2127.63099940348	1610.36959119675	1923.92269411059	2440.04509884398	2041.65348857669	1440.79788166437	2184.83575258477	2624.89296795301	2003.30836425637	1854.73301878405	1549.91087263985	2307.3653240027	867.622297813297	1192.82367843912	1691.439964938	1887.43548464766	1486.08123087378	1671.62689083195	1543.40886210171	1500.49582846261	1714.55703186594	1724.29330692374
LOC120412331	LOC120412331	839.027638205131	559.760802180284	944.429885104154	925.156658616885	507.062446209175	629.231334188417	974.130215647555	637.13981437991	990.277051795192	732.599210316179	814.464818500168	1429.85366769424	796.495031766999	743.13952929158	1110.17635815821	1103.55987622257	940.556442471573	961.890857457171	1026.85066746943	947.584701349313	1101.50575647821	1288.72278507899
LOC120412332	LOC120412332	886.057771485074	913.797757191711	1279.31691980101	1066.48469048476	1067.45367372177	1112.31802017816	1023.89613497151	1568.57147017841	905.996238202316	779.662751147637	512.225819604311	896.157685578446	391.90964354706	393.01028771288	625.378848801744	806.668702476781	530.501585225759	701.903992368365	764.120771691375	493.916985581407	845.041085804535	847.922793822258
LOC120412333	LOC120412333	848.41205995395	536.429697210407	841.878251333172	855.326900967579	599.143604791497	626.951557090211	806.607833683897	851.044360751383	741.764816973516	663.24171497323	744.257932044787	933.628751283984	448.50888589404	489.24491519453	719.355017290649	720.020004122631	599.119097286061	606.227290341609	740.971834578647	579.418084773095	773.677027147589	818.623413529417
LOC120412334	LOC120412334	459.032321922713	311.132998209049	467.597865014188	572.705800834528	343.339385825832	322.295591827414	524.764009353917	467.191407888442	513.52522849138	466.753057550176	502.189537921514	879.811316087406	405.436290713347	426.43214062414	579.924324199925	666.830562762558	526.129613652794	599.951610478015	639.247206860168	480.763756517348	609.199652784326	647.030625398581
LOC120412335	LOC120412335	2319.31142430897	1554.49945829524	2725.75820431905	2659.80493728243	1692.08770230154	2053.98869707129	2287.56050196889	2264.32762767152	2941.58115548926	2759.32973523368	1636.75833606425	2834.93067376287	1034.69974065337	1279.89380277273	1918.59547658428	2211.87554175242	1528.19171687548	1266.20517573575	1853.59824666105	1769.0723264188	2260.93697820888	2254.6095632978
LOC120412336	LOC120412336	5.91578299521455	0	6.953890619283	23.6426507467244	0	0	3.96350421112334	0	0	7.39768087842255	0	0	2.25169737692485	0	0	1.8815690986023	0	0	0.914595553955138	0	0	0
LOC120412337	LOC120412337	4.08284514787806	5.05362752179319	42.5083300804966	18.5965684794435	6.02642946363745	5.6218808352153	6.09738712854478	21.6235021799644	10.6081615491515	32.8850034516179	6.26624203267154	26.0256285957851	0.950614696950029	4.52454716395079	5.34442946695486	36.1756568249969	14.636525886098	15.9314714270022	10.3636393901692	14.6159741842623	22.345811676789	3.99985274851895
LOC120412338	LOC120412338	3441.85268503306	3094.44517455935	4283.19911086611	3966.5390801815	3136.87807243772	3585.12645894477	4258.44937109056	5518.07686440706	4239.80675230564	3742.67545317251	2417.20571777773	3551.47291348934	1313.91787201457	1821.92977216561	2340.98763700602	2996.63822626095	2238.7571915636	2231.13093235987	3075.93318247807	2541.90434500471	3414.28009474752	3255.55703532525
LOC120412339	LOC120412339	20.8334265840775	7.06343510141538	19.1725743938712	136.649442970421	13.3779136697779	48.7256201358443	91.4020886868445	60.9648114341027	46.930094464783	100.845094353767	20.3421704579046	39.5790992278225	12.9345038516298	104.182109996486	88.3643682936701	55.46597832221	46.4502816249853	47.4529580398842	91.422065908276	26.4960738869589	89.9512783243262	59.8640243556822
LOC120412340	LOC120412340	188.000064901496	115.128694566084	363.706379512182	137.90060587612	174.90458248128	136.669621412258	214.739892265727	173.165501600234	165.119928378702	191.509382577694	184.890361681516	231.625880838649	105.292073789174	97.7293706955796	209.158211084619	204.661801601461	161.813072520192	167.006314647888	178.2723184745	154.576427162281	153.979205057158	209.195930758644
LOC120412342	LOC120412342	14359.660837086	9348.04398619761	17920.7060617018	15197.6640446695	11565.9314486669	10778.2217519946	12550.4728250366	14595.6962503182	15881.2039429963	12950.7889662901	9824.90347714857	16696.0361543077	5827.05637332116	7007.33164571591	8946.06134711461	13711.759381459	8832.4707204775	11079.2804892268	13975.8069826598	8977.30129977639	16807.0195710897	15000.1686653895
